label,clean_text
ham,GONNA PICK $1 BURGER WAY HOME EVEN MOVE PAIN KILLING
ham,HA HA HA GOOD JOKE GIRLS SITUATION SEEKERS
ham,PART CHECKING IQ
ham,SORRY ROOMMATES TOOK FOREVER OK COME
ham,OK LAR DOUBLE CHECK WIF DA HAIR DRESSER ALREADY SAID WUN CUT V SHORT SAID CUT LOOK NICE
spam,VALUED CUSTOMER PLEASED ADVISE FOLLOWING RECENT REVIEW MOB AWARDED 1500 BONUS PRIZE CALL 09066364589
ham,TODAY SONG DEDICATED DAY SONG U DEDICATE SEND UR VALUABLE FRNDS FIRST RPLY
spam,URGENT UR AWARDED COMPLIMENTARY TRIP EURODISINC TRAV ACO ENTRY41 1000 CLAIM TXT DIS 87121 18 6 1 50 MOREFRMMOB SHRACOMORSGLSUPLT 10 LS1 3AJ
spam,HEAR NEW DIVORCE BARBIE COMES KEN STUFF
ham,PLANE GIVE MONTH END
ham,WAH LUCKY MAN SAVE MONEY HEE
ham,FINISHED CLASS
ham,HI BABE IM HOME WANNA SOMETHING XX
ham,K K PERFORMED
ham,U CALL
ham,WAITING MACHAN CALL FREE
ham,THATS COOL GENTLEMAN TREAT DIGNITY RESPECT
ham,LIKE PEOPLES MUCH SHY PA
ham,OPERATE LT GT
ham,STILL LOOKING JOB MUCH TA EARN
ham,SORRY CALL LATER
ham,K CALL AH
ham,OK WAY HOME HI HI
ham,PLACE MAN
ham,YUP NEXT STOP
ham,CALL LATER NETWORK URGNT SMS
ham,REAL U GETTING YO NEED 2 TICKETS ONE JACKET DONE ALREADY USED MULTIS
ham,YES STARTED SEND REQUESTS MAKE PAIN CAME BACK BACK BED DOUBLE COINS FACTORY GOTTA CASH NITROS
ham,REALLY STILL TONIGHT BABE
ham,ELA KANO IL DOWNLOAD COME WEN UR FREE
ham,YEAH STAND CLOSE THO CATCH SOMETHING
ham,SORRY PAIN OK MEET ANOTHER NIGHT SPENT LATE AFTERNOON CASUALTY MEANS DONE STUFF42MORO INCLUDES TIME SHEETS SORRY
ham,SMILE PLEASURE SMILE PAIN SMILE TROUBLE POURS LIKE RAIN SMILE SUM1 HURTS U SMILE BECOZ SOMEONE STILL LOVES SEE U SMILING
spam,PLEASE CALL CUSTOMER SERVICE REPRESENTATIVE 0800 169 6031 10AM 9PM GUARANTEED 1000 CASH 5000 PRIZE
ham,HAVENT PLANNING BUY LATER CHECK ALREADY LIDO GOT 530 SHOW E AFTERNOON U FINISH WORK ALREADY
spam,FREE RINGTONE WAITING COLLECTED SIMPLY TEXT PASSWORD MIX 85069 VERIFY GET USHER BRITNEY FML
ham,WATCHING TELUGU MOVIE WAT ABT U
ham,SEE FINISH LOADS LOANS PAY
ham,HI WK OK HOLS YES BIT RUN FORGOT HAIRDRESSERS APPOINTMENT FOUR NEED GET HOME N SHOWER BEFOREHAND CAUSE PROB U HAM
ham,PLEASE TEXT ANYMORE NOTHING ELSE SAY
ham,OKAY NAME UR PRICE LONG LEGAL WEN PICK U AVE X AMS XX
ham,STILL LOOKING CAR BUY GONE 4THE DRIVING TEST YET
ham,PER REQUEST MELLE MELLE ORU MINNAMINUNGINTE NURUNGU VETTAM SET CALLERTUNE CALLERS PRESS 9 COPY FRIENDS CALLERTUNE
ham,WOW RIGHT MEAN GUESS GAVE BOSTON MEN CHANGED SEARCH LOCATION NYC SOMETHING CHANGED CUZ SIGNIN PAGE STILL SAYS BOSTON
ham,UMMA LIFE VAVA UMMA LOVE LOT DEAR
ham,THANKS LOT WISHES BIRTHDAY THANKS MAKING BIRTHDAY TRULY MEMORABLE
ham,AIGHT HIT GET CASH
ham,WOULD IP ADDRESS TEST CONSIDERING COMPUTER MINECRAFT SERVER
ham,KNOW GRUMPY OLD PEOPLE MOM LIKE BETTER LYING ALWAYS ONE PLAY JOKES
ham,DONT WORRY GUESS BUSY
ham,PLURAL NOUN RESEARCH
ham,GOING DINNER MSG
ham,OK WIF COS LIKE 2 TRY NEW THINGS SCARED U DUN LIKE MAH COS U SAID LOUD
spam,GENT TRYING CONTACT LAST WEEKENDS DRAW SHOWS 1000 PRIZE GUARANTEED CALL 09064012160 CLAIM CODE K52 VALID 12HRS 150PPM
ham,WA UR OPENIN SENTENCE FORMAL ANYWAY FINE JUZ TT EATIN MUCH N PUTTIN WEIGHT HAHA ANYTHIN SPECIAL HAPPENED
ham,ENTERED CABIN PA SAID HAPPY B DAY BOSS FELT SPECIAL ASKD 4 LUNCH LUNCH INVITED APARTMENT WENT
spam,WINNER U SPECIALLY SELECTED 2 RECEIVE 1000 4 HOLIDAY FLIGHTS INC SPEAK LIVE OPERATOR 2 CLAIM 0871277810910P MIN 18
ham,GOODO YES MUST SPEAK FRIDAY EGG POTATO RATIO TORTILLA NEEDED
ham,HMM UNCLE INFORMED PAYING SCHOOL DIRECTLY PLS BUY FOOD
spam,PRIVATE 2004 ACCOUNT STATEMENT 07742676969 SHOWS 786 UNREDEEMED BONUS POINTS CLAIM CALL 08719180248 IDENTIFIER CODE 45239 EXPIRES
spam,URGENT MOBILE AWARDED 2000 BONUS CALLER PRIZE 5 9 03 FINAL TRY CONTACT U CALL LANDLINE 09064019788 BOX42WR29C 150PPM
ham,NEW ADDRESS APPLES PAIRS MALARKY
spam,TODAYS VODA NUMBERS ENDING 7548 SELECTED RECEIVE $350 AWARD MATCH PLEASE CALL 08712300220 QUOTING CLAIM CODE 4041 STANDARD RATES APP
ham,GOING SAO MU TODAY DONE 12
ham,PREDICT WAT TIME FINISH BUYING
ham,GOOD STUFF
ham,KNOW YETUNDE SENT MONEY YET SENT TEXT BOTHER SENDING DONT INVOLVE ANYTHING IMPOSED ANYTHING FIRST PLACE APOLOGISE
ham,ROOM
ham,HEY GIRL R U HOPE U R WELL DEL R BAK LONG TIME C GIVE CALL SUM TIME LUCYXX
ham,K K MUCH COST
ham,HOME
ham,DEAR CALL TMORROW PLS ACCOMODATE
ham,FIRST ANSWER QUESTION
spam,SUNSHINE QUIZ WKLY Q WIN TOP SONY DVD PLAYER U KNOW COUNTRY ALGARVE TXT ANSR 82277 1 50 SP TYRONE
spam,WANT 2 GET LAID TONIGHT WANT REAL DOGGING LOCATIONS SENT DIRECT 2 UR MOB JOIN UK LARGEST DOGGING NETWORK BT TXTING GRAVEL 69888 NT EC2A 31P MSG 150P
ham,HAF MSN YIJUE HOTMAIL COM
ham,CALL MEET
ham,CHECK ROOMS BEFOR ACTIVITIES
spam,RCV MSGS CHAT SVC FREE HARDCORE SERVICES TEXT GO 69988 U GET NOTHING U MUST AGE VERIFY YR NETWORK TRY
ham,GOT C LAZY TYPE FORGOT LECT SAW POUCH LIKE V NICE
ham,K TEXT WAY
ham,SIR WAITING MAIL
ham,SWT THOUGHT NVER GET TIRED LITTLE THINGS 4 LOVABLE PERSONS COZ SOMTIMES LITTLE THINGS OCCUPY BIGGEST PART HEARTS GUD NI8
ham,KNOW PLS OPEN BACK
ham,YES SEE YA DOT
ham,WHATS STAFF NAME TAKING CLASS US
spam,FREEMSG REPLIED TEXT RANDY SEXY FEMALE LIVE LOCAL LUV HEAR U NETCOLLEX LTD 08700621170150P PER MSG REPLY STOP END
ham,UMMMA CALL CHECK LIFE BEGIN QATAR PLS PRAY HARD
ham,K DELETED CONTACT
ham,SINDU GOT JOB BIRLA SOFT
ham,WINE FLOWING NEVERING
ham,YUP THK CINE BETTER COS NEED 2 GO 2 PLAZA MAH
ham,OK UR TYPICAL REPLY
ham,PER REQUEST MELLE MELLE ORU MINNAMINUNGINTE NURUNGU VETTAM SET CALLERTUNE CALLERS PRESS 9 COPY FRIENDS CALLERTUNE
ham,EVERYWHERE DIRT FLOOR WINDOWS EVEN SHIRT SOMETIMES OPEN MOUTH COMES FLOWING DREAM WORLD WITHOUT HALF CHORES TIME JOY LOTS TV SHOWS SEE GUESS LIKE THINGS MUST EXIST LIKE RAIN HAIL MIST TIME DONE BECOME ONE
ham,AAOOOORIGHT WORK
ham,LEAVING HOUSE
ham,HELLO LOVE GET INTERVIEW TODAY HAPPY GOOD BOY THINK MISSING
spam,CUSTOMER SERVICE ANNONCEMENT NEW YEARS DELIVERY WAITING PLEASE CALL 07046744435 ARRANGE DELIVERY
spam,WINNER U SPECIALLY SELECTED 2 RECEIVE 1000 CASH 4 HOLIDAY FLIGHTS INC SPEAK LIVE OPERATOR 2 CLAIM 0871277810810
ham,KEEP SAFE NEED MISS ALREADY ENVY EVERYONE SEE REAL LIFE
ham,NEW CAR HOUSE PARENTS NEW JOB HAND
ham,LOVE EXCITED DAY SPEND MAKE HAPPY
spam,PLS STOP BOOTYDELIOUS 32 F INVITING FRIEND REPLY YES 434 434 SEE WWW SMS AC U BOOTYDELIOUS STOP SEND STOP FRND 62468
spam,BANGBABES UR ORDER WAY U RECEIVE SERVICE MSG 2 DOWNLOAD UR CONTENT U GOTO WAP BANGB TV UR MOBILE INTERNET SERVICE MENU
ham,PLACE UR POINTS E CULTURES MODULE ALREADY
spam,URGENT TRYING CONTACT LAST WEEKENDS DRAW SHOWS 900 PRIZE GUARANTEED CALL 09061701939 CLAIM CODE S89 VALID 12HRS
ham,HI FRND BEST WAY AVOID MISSUNDERSTDING WIT BELOVED ONE
ham,GREAT ESCAPE FANCY BRIDGE NEEDS LAGER SEE TOMO
ham,YES COMPLETELY FORM CLARK ALSO UTTER WASTE
ham,SIR NEED AXIS BANK ACCOUNT BANK ADDRESS
ham,HMMM THK SURE GOT TIME HOP ARD YA GO 4 FREE ABT MUZ CALL U DISCUSS LIAO
ham,TIME COMING LATER
ham,BLOODY HELL CANT BELIEVE FORGOT SURNAME MR ILL GIVE U CLUE SPANISH BEGINS
ham,WELL GONNA FINISH BATH GOOD FINE NIGHT
ham,LET KNOW GOT MONEY CARLOS MAKE CALL
ham,U STILL GOING MALL
ham,TURNS FRIENDS STAYING WHOLE SHOW BACK TIL LT GT FEEL FREE GO AHEAD SMOKE $ LT GT WORTH
ham,TEXT DOESNT REPLY LET KNOW LOG
ham,HI SPOKE MANEESHA V LIKE KNOW SATISFIED EXPERIENCE REPLY TOLL FREE YES
ham,LIFTED HOPES OFFER MONEY NEED ESPECIALLY END MONTH APPROACHES HURTS STUDYING ANYWAYS GR8 WEEKEND
ham,LOL U TRUST
ham,OK GENTLEMAN TREAT DIGNITY RESPECT
ham,GUYS CLOSE
ham,GOING NOTHING GREAT BYE
ham,HELLO HANDSOME FINDING JOB LAZY WORKING TOWARDS GETTING BACK NET MUMMY BOYTOY MISS
ham,HAHA AWESOME MINUTE
spam,PLEASE CALL CUSTOMER SERVICE REPRESENTATIVE FREEPHONE 0808 145 4742 9AM 11PM GUARANTEED 1000 CASH 5000 PRIZE
ham,GOT XMAS RADIO TIMES GET
ham,JUS REACHED HOME GO BATHE FIRST SIS USING NET TELL U FINISHES K
spam,UNIQUE ENOUGH FIND 30TH AUGUST WWW AREYOUUNIQUE CO UK
ham,SORRY JOINED LEAGUE PEOPLE DONT KEEP TOUCH MEAN GREAT DEAL FRIEND TIMES EVEN GREAT PERSONAL COST GREAT WEEK
ham,HI FINALLY COMPLETED COURSE
ham,STOP HOWEVER SUGGEST STAYS SOMEONE ABLE GIVE ORS EVERY STOOL
ham,HOPE SETTLED NEW SCHOOL YEAR WISHIN GR8 DAY
ham,GUD MRNG DEAR HAV NICE DAY
ham,U GOT PERSONS STORY
ham,HAMSTER DEAD HEY TMR MEET 1PM ORCHARD MRT
ham,HI KATE EVENING HOPE SEE TOMORROW BIT BLOODY BABYJONTET TXT BACK U XXX
ham,FOUND ENC LT GT
ham,SENT LT GT BUCKS
ham,HELLO DARLIN IVE FINISHED COLLEGE TXT U FINISH U LOVE KATE XXX
ham,ACCOUNT REFILLED SUCCESSFULLY INR LT DECIMAL GT KERALACIRCLE PREPAID ACCOUNT BALANCE RS LT DECIMAL GT TRANSACTION ID KR LT GT
ham,GOODMORNING SLEEPING GA
ham,U CALL ALTER 11 OK
ham,SAY LIKE DAT DUN BUY ERICSSON OSO CANNOT OREDI LAR
ham,ENTERED CABIN PA SAID HAPPY B DAY BOSS FELT SPECIAL ASKD 4 LUNCH LUNCH INVITED APARTMENT WENT
ham,AIGHT YO DATS STRAIGHT DOGG
ham,PLEASE GIVE US CONNECTION TODAY LT DECIMAL GT REFUND BILL
ham,SHOOT BIG LOADS GET READY
ham,BRUV HOPE GREAT BREAK REWARDING SEMESTER
ham,HOME ALWAYS CHAT
ham,K K GOOD STUDY WELL
ham,YUP NOE LEH
ham,SOUNDS GREAT HOME
ham,FINALLY MATCH HEADING TOWARDS DRAW PREDICTION
ham,TIRED SLEPT WELL PAST NIGHTS
ham,EASY AH SEN GOT SELECTED MEANS GOOD
ham,TAKE EXAM MARCH 3
ham,YEAH THINK USE GT ATM REGISTER SURE ANYWAY HELP LET KNOW SURE READY
ham,OK PROB TAKE UR TIME
ham,OS CALLED UBANDU RUN WITHOUT INSTALLING HARD DISK USE OS COPY IMPORTANT FILES SYSTEM GIVE REPAIR SHOP
ham,SORRY CALL LATER
ham,U SAY LEH COURSE NOTHING HAPPEN LAR SAY V ROMANTIC JUS BIT LOR THK E NITE SCENERY NICE LEH
spam,500 NEW MOBILES 2004 MUST GO TXT NOKIA 89545 COLLECT TODAY 1 WWW 4 TC BIZ 2OPTOUT 087187262701 50GBP MTMSG18
ham,WOULD REALLY APPRECIATE CALL NEED SOMEONE TALK
spam,U MEET UR DREAM PARTNER SOON UR CAREER 2 FLYNG START 2 FIND FREE TXT HORO FOLLOWED UR STAR SIGN E G HORO ARIES
ham,HEY COMPANY ELAMA PO MUDYADHU
ham,LIFE STRICT TEACHER BCOZ TEACHER TEACHES LESSON AMP CONDUCTS EXAM LIFE FIRST CONDUCTS EXAM AMP TEACHES LESSONS HAPPY MORNING
ham,DEAR GOOD MORNING
ham,GET GANDHIPURAM WALK CROSS CUT ROAD RIGHT SIDE LT GT STREET ROAD TURN FIRST RIGHT
ham,DEAR GOING RUBBER PLACE
ham,SORRY BATTERY DIED YEAH
ham,YES TV ALWAYS AVAILABLE WORK PLACE
spam,TEXT MEET SOMEONE SEXY TODAY U FIND DATE EVEN FLIRT U JOIN 4 10P REPLY NAME AGE EG SAM 25 18 MSG RECD THIRTYEIGHT PENCE
ham,PRINTED OH LT GT COME UPSTAIRS
ham,ILL LITTLE CLOSER LIKE BUS STOP STREET
ham,WIL REACH
ham,NEW THEORY ARGUMENT WINS SITUATION LOSES PERSON DONT ARGUE UR FRIENDS KICK AMP SAY ALWAYS CORRECT
spam,U 447801259231 SECRET ADMIRER LOOKING 2 MAKE CONTACT U FIND R REVEAL THINKS UR SPECIAL CALL 09058094597
ham,TOMARROW FINAL HEARING LAPTOP CASE CANT
ham,PLEASSSSSSSEEEEEE TEL V AVENT DONE SPORTSX
ham,OKAY SHINING MEANT SIGNING SOUNDS BETTER
ham,ALTHOUGH TOLD U DAT BAIG FACE WATCHES REALLY LIKE E WATCH U GAVE COS FR U THANX 4 EVERYTHING DAT U DONE TODAY TOUCHED
ham,U REMEMBER OLD COMMERCIAL
ham,LATE SAID WEBSITE DONT SLIPPERS
ham,ASKED CALL OK
ham,KALLIS WONT BAT 2ND INNINGS
ham,DIDNT WORK OH OK GOODNIGHT FIX READY TIME WAKE DEARLY MISSED GOOD NIGHT SLEEP
spam,CONGRATULATIONS UR AWARDED 500 CD VOUCHERS 125GIFT GUARANTEED FREE ENTRY 2 100 WKLY DRAW TXT MUSIC 87066 TNCS WWW LDEW COM1WIN150PPMX3AGE16
ham,RANJITH CAL DRPD DEERAJ DEEPAK 5MIN HOLD
ham,WEN UR LOVABLE BCUMS ANGRY WID U DNT TAKE SERIOUSLY COZ ANGRY CHILDISH N TRUE WAY SHOWING DEEP AFFECTION CARE N LUV KETTODA MANDA NICE DAY DA
ham,
ham,UPS 3DAYS ALSO SHIPPING COMPANY TAKES 2WKS WAY USPS TAKES WEEK GETS LAG MAY BRIBE NIPOST GET STUFF
ham,BACK LEMME KNOW READY
ham,NECESSARILY EXPECT DONE GET BACK THOUGH HEADIN
ham,MMM YUMMY BABE NICE JOLT SUZY
ham,LOVER NEED
spam,TRIED CONTACT REPLY OFFER VIDEO HANDSET 750 ANYTIME NETWORKS MINS UNLIMITED TEXT CAMCORDER REPLY CALL 08000930705
ham,PARKED NEXT MINI COMING TODAY THINK
ham,YUP
ham,ANYWAY GOING SHOPPING COS SIS DONE YET DUN DISTURB U LIAO
ham,LUTON 0125698789 RING UR AROUND H
spam,HEY REALLY HORNY WANT CHAT SEE NAKED TEXT HOT 69698 TEXT CHARGED 150PM UNSUBSCRIBE TEXT STOP 69698
ham,DINT COME US
ham,WANA PLAN TRIP SOMETME
ham,SURE YET STILL TRYING GET HOLD
spam,UR RINGTONE SERVICE CHANGED 25 FREE CREDITS GO CLUB4MOBILES COM CHOOSE CONTENT STOP TXT CLUB STOP 87070 150P WK CLUB4 PO BOX1146 MK45 2WT
ham,EVO DOWNLOAD FLASH JEALOUS
spam,RINGTONE CLUB GET UK SINGLES CHART MOBILE WEEK CHOOSE TOP QUALITY RINGTONE MESSAGE FREE CHARGE
ham,COME MU SORTING NARCOTICS SITUATION
ham,NIGHT ENDED ANOTHER DAY MORNING COME SPECIAL WAY MAY SMILE LIKE SUNNY RAYS LEAVES WORRIES BLUE BLUE BAY
spam,HMV BONUS SPECIAL 500 POUNDS GENUINE HMV VOUCHERS ANSWER 4 EASY QUESTIONS PLAY SEND HMV 86688 INFO WWW 100PERCENT REAL COM
ham,USF GUESS MIGHT WELL TAKE 1 CAR
ham,OBJECTION BF COMING
ham,THANX
ham,TELL ROB MACK GF THEATER
ham,AWESOME SEE BIT
ham,SENT TYPE FOOD LIKE
ham,DONE HANDED CELEBRATIONS FULL SWING YET
ham,GOT CALLED TOOL
ham,WEN U MISS SOMEONE
ham,OK ASKED MONEY FAR
ham,OKIE
ham,YEAH THINK USUAL GUY STILL PASSED LAST NIGHT GET AHOLD ANYBODY LET KNOW THROW
ham,K MIGHT COME TONIGHT CLASS LETS EARLY
ham,OK
ham,HI BABY IM CRUISIN GIRL FRIEND R U 2 GIVE CALL HOUR HOME THATS ALRIGHT FONE FONE LOVE JENNY XXX
ham,LIFE MEANS LOT LOVE LIFE LOVE PEOPLE LIFE WORLD CALLS FRIENDS CALL WORLD GE
ham,DEAR SHALL MAIL TONITE BUSY STREET SHALL UPDATE TONITE THINGS LOOKING OK VARUNNATHU EDUKKUKAYEE RAKSHA OLLU GOOD ONE REAL SENSE
ham,HEY TOLD NAME GAUTHAM AH
ham,HAF U FOUND FEEL STUPID DA V CAM WORKING
ham,OOPS 4 GOT BIT
ham,MUCH BUZY
ham,ACCIDENTALLY DELETED MESSAGE RESEND PLEASE
spam,MOBILE CUSTOMER MAY CLAIM FREE CAMERA PHONE UPGRADE PAY GO SIM CARD LOYALTY CALL 0845 021 3680 OFFER ENDS 28THFEB C APPLY
ham,UNLESS SITUATION GO GURL WOULD APPROPRIATE
ham,HURT TEASE MAKE CRY END LIFE DIE PLZ KEEP ONE ROSE GRAVE SAY STUPID MISS U NICE DAY BSLVYL
ham,CANT PICK PHONE RIGHT PLS SEND MESSAGE
ham,NEED COFFEE RUN TOMO BELIEVE TIME WEEK ALREADY
ham,AWESOME REMEMBER LAST TIME GOT SOMEBODY HIGH FIRST TIME DIESEL V
ham,SHIT REALLY SHOCKING SCARY CANT IMAGINE SECOND DEF NIGHT U THINK SOMEWHERE COULD CRASH NIGHT SAVE TAXI
ham,OH WAY FOOD FRIDGE WANT GO MEAL TONIGHT
ham,WOMDARFULL ACTOR
spam,SMS AC BLIND DATE 4U RODDS1 21 ABERDEEN UNITED KINGDOM CHECK HTTP IMG SMS AC W ICMB3CKTZ8R7 4 BLIND DATES SEND HIDE
ham,YUP REMB THINK BOOK
ham,JOS ASK U WANA MEET
ham,LOL YES FRIENDSHIP HANGING THREAD CAUSE U BUY STUFF
spam,THEMOB CHECK NEWEST SELECTION CONTENT GAMES TONES GOSSIP BABES SPORT KEEP MOBILE FIT FUNKY TEXT WAP 82468
ham,GARAGE KEYS BOOKSHELF
ham,TODAY ACCEPT DAY U ACCEPT BROTHER SISTER LOVER DEAR1 BEST1 CLOS1 LVBLEFRND JSTFRND CUTEFRND LIFPARTNR BELOVD SWTHEART BSTFRND RPLY MEANS ENEMY
spam,THINK UR SMART WIN 200 WEEK WEEKLY QUIZ TEXT PLAY 85222 CS WINNERSCLUB PO BOX 84 M26 3UZ 16 GBP1 50 WEEK
ham,SAYS GIVE CALL FRIEND GOT MONEY DEFINITELY BUYING END WEEK
ham,HI WAY U 2DAY NORMAL WAY REAL UR UNIQUE HOPE KNOW U 4 REST MYLIFE HOPE U FIND WOT LOST
ham,MADE DAY GREAT DAY
ham,K K ADVANCE HAPPY PONGAL
ham,HMMM GUESS GO 4 KB N POWER YOGA HAHA DUNNO TAHAN POWER YOGA ANOT THK GOT LO OSO FORGOT LIAO
ham,REALLY DUDE FRIENDS AFRAID
spam,DECEMBER MOBILE 11MTHS ENTITLED UPDATE LATEST COLOUR CAMERA MOBILE FREE CALL MOBILE UPDATE CO FREE 08002986906
ham,COFFEE CAKE GUESS
ham,MERRY CHRISTMAS BABE LOVE YA KISSES
ham,HEY DONT GO WATCH X MEN LUNCH HAHA
ham,CUD U TELL PPL IM GONA B BIT L8 COS 2 BUSES HAV GON PAST COS FULL IM STILL WAITIN 4 1 PETE X
ham,WOULD GREAT GUILD COULD MEET BRISTOL ROAD SOMEWHERE GET TOUCH WEEKEND PLANS TAKE FLIGHT GOOD WEEK
ham,PROBLEM
ham,CALLS MESSAGES MISSED CALLS
ham,HI DA TODAYS CLASS
ham,SAY GOOD SIGN WELL KNOW TRACK RECORD READING WOMEN
ham,COOL TEXT PARKED
ham,READING TEXT SENT MEANT JOKE READ LIGHT
ham,K K APO K GOOD MOVIE
ham,MAYBE COULD GET BOOK TOMO RETURN IMMEDIATELY SOMETHING
spam,CALL GERMANY 1 PENCE PER MINUTE CALL FIXED LINE VIA ACCESS NUMBER 0844 861 85 85 PREPAYMENT DIRECT ACCESS
ham,CHANCE MIGHT EVAPORATED SOON VIOLATED PRIVACY STEALING PHONE NUMBER EMPLOYER PAPERWORK COOL PLEASE CONTACT REPORT SUPERVISOR
